# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.9600,-2.1500,0.7000,0.7000
-2.9600,-2.1000,0.7000,0.7000
-2.9600,-2.0500,0.7000,0.7000
-2.9600,-2.0000,0.7000,0.7000
-2.9600,-1.9500,0.7000,0.7000
-3.0100,-1.9000,0.7000,0.7000
-3.0100,-1.8500,0.7000,0.7000
-3.0100,-1.8000,0.7000,0.7000
-3.0100,-1.7500,0.7000,0.7000
-3.0100,-1.7000,0.7000,0.7000
-3.0100,-1.6500,0.7000,0.7000
-3.0100,-1.6000,0.7000,0.7000
-3.0100,-1.5500,0.7000,0.7000
-3.0100,-1.5000,0.7000,0.7000
-3.0100,-1.4500,0.7018,0.7018
-3.0100,-1.4000,0.7071,0.7071
-3.0100,-1.3500,0.7159,0.7159
-3.0100,-1.3000,0.7280,0.7280
-3.0100,-1.2500,0.7433,0.7433
-3.0100,-1.2000,0.7500,0.7500
-3.0100,-1.1500,0.7517,0.7517
-3.0100,-1.1000,0.7566,0.7566
-3.0100,-1.0500,0.7649,0.7649
-3.0100,-1.0000,0.7616,0.7616
-3.0100,-0.9500,0.7433,0.7433
-3.0100,-0.9000,0.7280,0.7280
-3.0100,-0.8500,0.7159,0.7159
-3.0100,-0.8000,0.7071,0.7071
-2.9600,-0.7500,0.7517,0.7517
-2.9600,-0.7000,0.7500,0.7500
-2.9600,-0.6500,0.7500,0.7500
-2.9600,-0.6000,0.7500,0.7500
-2.9600,-0.5500,0.7500,0.7500
-2.9600,-0.5000,0.7500,0.7500
-2.9100,-0.4500,0.8000,0.8000
-2.9100,-0.4000,0.8000,0.8000
-2.9100,-0.3500,0.8000,0.8000
-2.8600,-0.3500,0.8500,0.8500
-2.8100,-0.3500,0.9000,0.9000
-2.7600,-0.3500,0.8902,0.8902
-2.7100,-0.3500,0.8602,0.8602
-2.6600,-0.3500,0.8322,0.8322
-2.6100,-0.3500,0.8062,0.8062
-2.5600,-0.3500,0.7826,0.7826
-2.5100,-0.3500,0.7616,0.7616
-2.4600,-0.4000,0.6964,0.6964
-2.4100,-0.4000,0.6801,0.6801
-2.3600,-0.4000,0.6671,0.6671
-2.3100,-0.4000,0.6576,0.6576
-2.2600,-0.4000,0.6519,0.6519
-2.2100,-0.4000,0.6500,0.6500
-2.1600,-0.4000,0.6500,0.6500
-2.1100,-0.4000,0.6500,0.6500
-2.0600,-0.4000,0.6500,0.6500
-2.0100,-0.4000,0.6500,0.6500
-1.9600,-0.4000,0.6500,0.6500
-1.9100,-0.4000,0.6500,0.6500
-1.8600,-0.4000,0.6500,0.6500
-1.8100,-0.4000,0.6500,0.6500
-1.7600,-0.4000,0.6500,0.6500
-1.7100,-0.4000,0.6325,0.6325
-1.6600,-0.4000,0.6185,0.6185
-1.6100,-0.4000,0.6083,0.6083
-1.5600,-0.3500,0.6083,0.6083
-1.5100,-0.3500,0.6185,0.6185
-1.4600,-0.3500,0.6325,0.6325
-1.4100,-0.3500,0.6185,0.6185
-1.3600,-0.3500,0.6083,0.6083
-1.3100,-0.3500,0.6021,0.6021
-1.2600,-0.3500,0.6000,0.6000
-1.2100,-0.3000,0.6500,0.6500
-1.1600,-0.3000,0.6519,0.6519
-1.1100,-0.3000,0.6500,0.6500
-1.0600,-0.3000,0.6500,0.6500
-1.0100,-0.3000,0.6500,0.6500
-0.9600,-0.3000,0.6500,0.6500
-0.9100,-0.3000,0.6500,0.6500
-0.8600,-0.3000,0.6500,0.6500
-0.8100,-0.3000,0.6500,0.6500
-0.7600,-0.3000,0.6500,0.6500
-0.7100,-0.3000,0.6500,0.6500
-0.6600,-0.2500,0.6500,0.6500
-0.6100,-0.2500,0.6519,0.6519
-0.5600,-0.2500,0.6500,0.6500
-0.5100,-0.2500,0.6519,0.6519
-0.4600,-0.2500,0.6576,0.6576
-0.4100,-0.2500,0.6576,0.6576
-0.3600,-0.2500,0.6519,0.6519
-0.3100,-0.2500,0.6500,0.6500
-0.2600,-0.2500,0.6519,0.6519
-0.2100,-0.2500,0.6576,0.6576
-0.1600,-0.2500,0.6519,0.6519
-0.1100,-0.2500,0.6500,0.6500
-0.0600,-0.2500,0.6519,0.6519
-0.0100,-0.2500,0.6576,0.6576
0.0400,-0.2500,0.6671,0.6671
0.0900,-0.2500,0.6801,0.6801
0.1400,-0.2500,0.6964,0.6964
0.1900,-0.2500,0.7000,0.7000
0.2400,-0.2500,0.7000,0.7000
0.2900,-0.2500,0.7000,0.7000
0.3400,-0.2500,0.7000,0.7000
0.3900,-0.2500,0.7000,0.7000
0.4400,-0.2500,0.7000,0.7000
0.4900,-0.2500,0.7000,0.7000
0.5400,-0.2500,0.7000,0.7000
0.5900,-0.2500,0.7000,0.7000
0.6400,-0.2500,0.7000,0.7000
0.6900,-0.2500,0.7000,0.7000
0.7400,-0.2500,0.7000,0.7000
0.7900,-0.2500,0.7000,0.7000
0.8400,-0.2500,0.7000,0.7000
0.8900,-0.2500,0.7000,0.7000
0.9400,-0.2500,0.7000,0.7000
0.9900,-0.2500,0.7000,0.7000
1.0400,-0.2500,0.7000,0.7000
1.0900,-0.2500,0.7000,0.7000
1.1400,-0.2500,0.7000,0.7000
1.1900,-0.2500,0.7018,0.7018
1.2400,-0.2500,0.7018,0.7018
1.2900,-0.2500,0.7000,0.7000
1.3400,-0.2500,0.7000,0.7000
1.3900,-0.2500,0.7000,0.7000
1.4400,-0.2500,0.7000,0.7000
1.4900,-0.2500,0.7000,0.7000
1.5400,-0.2500,0.7000,0.7000
1.5900,-0.2500,0.7000,0.7000
1.6400,-0.2500,0.7000,0.7000
1.6900,-0.2500,0.7000,0.7000
1.7400,-0.2500,0.7000,0.7000
1.7900,-0.2500,0.7000,0.7000
1.8400,-0.2500,0.6964,0.6964
1.8900,-0.2500,0.6801,0.6801
1.9400,-0.2500,0.6671,0.6671
1.9900,-0.2500,0.6576,0.6576
2.0400,-0.2500,0.6519,0.6519
2.0900,-0.2500,0.6500,0.6500
2.1400,-0.2500,0.6519,0.6519
2.1900,-0.2500,0.6576,0.6576
2.2400,-0.2500,0.6671,0.6671
2.2900,-0.2500,0.6576,0.6576
2.3400,-0.2500,0.6519,0.6519
2.3900,-0.2500,0.6500,0.6500
2.4400,-0.2500,0.6519,0.6519
2.4900,-0.2500,0.6576,0.6576
2.5400,-0.2500,0.6671,0.6671
2.5900,-0.2500,0.6801,0.6801
2.6400,-0.2500,0.6964,0.6964
2.6900,-0.2500,0.7000,0.7000
2.7400,-0.2500,0.7000,0.7000
2.7900,-0.2500,0.7000,0.7000
2.8400,-0.2500,0.7000,0.7000
2.8900,-0.3000,0.7159,0.7159
2.9400,-0.3000,0.7280,0.7280
2.9900,-0.3000,0.7433,0.7433
3.0400,-0.3000,0.7280,0.7280
3.0900,-0.3000,0.7159,0.7159
3.1400,-0.3000,0.7071,0.7071
3.1900,-0.3000,0.7018,0.7018
3.2400,-0.3000,0.7000,0.7000
3.2900,-0.3500,0.6519,0.6519
3.3400,-0.3500,0.6576,0.6576
3.3900,-0.3500,0.6671,0.6671
3.4400,-0.3500,0.6801,0.6801
3.4900,-0.3500,0.6964,0.6964
3.5400,-0.3500,0.7071,0.7071
3.5900,-0.4000,0.6946,0.6946
3.6400,-0.4000,0.7106,0.7106
3.6900,-0.4500,0.7106,0.7106
3.7400,-0.5000,0.7071,0.7071
3.7900,-0.5500,0.7106,0.7106
3.8400,-0.6000,0.7071,0.7071
3.8900,-0.6500,0.6946,0.6946
3.9400,-0.6500,0.7159,0.7159
3.9900,-0.6500,0.6964,0.6964
4.0400,-0.7000,0.7280,0.7280
4.0900,-0.7000,0.7159,0.7159
4.1400,-0.7500,0.7566,0.7566
4.1900,-0.8000,0.7906,0.7906
4.2400,-0.8500,0.8062,0.8062
4.2400,-0.9000,0.7826,0.7826
4.2900,-0.9500,0.8078,0.8078
4.3400,-1.0000,0.8382,0.8382
4.3900,-1.0500,0.8485,0.8485
4.4400,-1.1000,0.8485,0.8485
4.4400,-1.1500,0.8322,0.8322
4.4900,-1.2000,0.8500,0.8500
4.5400,-1.2500,0.8602,0.8602
4.5400,-1.3000,0.8322,0.8322
4.5900,-1.3500,0.8500,0.8500
4.5900,-1.4000,0.8276,0.8276
4.6400,-1.4500,0.8544,0.8544
4.6400,-1.5000,0.8382,0.8382
4.6400,-1.5500,0.8246,0.8246
4.6900,-1.6000,0.8631,0.8631
4.6900,-1.6500,0.8559,0.8559
4.6900,-1.7000,0.8515,0.8515
4.6900,-1.7500,0.8500,0.8500
4.7400,-1.8000,0.9000,0.9000
4.7400,-1.8500,0.9014,0.9014
4.7400,-1.9000,0.9055,0.9055
4.7900,-1.9500,0.9618,0.9618
4.7900,-2.0000,0.9618,0.9618
4.8400,-2.0000,0.9708,0.9708
4.8900,-2.0500,0.9341,0.9341
4.9400,-2.0500,0.9487,0.9487
4.9900,-2.0500,0.9657,0.9657
5.0400,-2.1000,0.9341,0.9341
5.0900,-2.1000,0.9487,0.9487
5.1400,-2.1000,0.9618,0.9618
5.1900,-2.1500,0.9220,0.9220
5.2400,-2.2000,0.8860,0.8860
5.2900,-2.2000,0.9014,0.9014
5.3400,-2.2500,0.8732,0.8732
5.3900,-2.3000,0.8500,0.8500
5.4400,-2.3000,0.8732,0.8732
5.4900,-2.3500,0.8500,0.8500
5.5400,-2.4000,0.8276,0.8276
5.5900,-2.4000,0.8485,0.8485
5.6400,-2.4500,0.8322,0.8322
5.6900,-2.5000,0.8201,0.8201
5.7400,-2.5500,0.8062,0.8062
5.7900,-2.6000,0.7906,0.7906
5.8400,-2.6500,0.7810,0.7810
5.8900,-2.7000,0.7632,0.7632
5.9400,-2.7500,0.7500,0.7500
5.9900,-2.7500,0.7433,0.7433
6.0400,-2.8000,0.7433,0.7433
6.0900,-2.8500,0.7433,0.7433
